model,criteo-auc,criteo-loss,criteo-auc-m,criteo-loss-m,avazu-auc,avazu-loss,avazu-auc-m,avazu-loss-m,ml-auc,ml-loss,ml-auc-m,ml-loss-m,fliggy-auc,fliggy-loss,fliggy-auc-m,fliggy-loss-m,tb_adclick-auc,tb_adclick-loss,tb_adclick-auc-m,tb_adclick-loss-m
autoint,0.8061,0.4455,,,0.7752,0.3824,,,0.8456,0.3797,,,,,,,,,,
autoint+,0.8083,0.4434,0.8065,0.4452,0.7774,0.3811,,,0.8848,0.3753,,,,,,,,,,
dcn,0.8099,0.4419,,,0.7905,0.3744,,,0.8935,0.316,,,,,,,,,,
dcnv2,0.8115,0.4406,0.80829,0.44359,0.7907,0.3742,,,0.8964,0.316,,,,,,,,,,
deepfm,0.8007,0.4508,,,0.7852,0.378,,,0.8932,0.3202,,,,,,,,,,
xdeepfm,0.8052,0.4418,,,0.7894,0.3794,,,0.8923,0.3251,,,,,,,,,,
interhat,0.7845,0.4577,,,0.7582,0.391,,,,,,,,,,,,,,
edcn,0.8001,0.5415,,,0.7793,0.3803,,,,,,,,,,,,,,
can,,,,,,,,,,,,,,,,,,,,
medcn,0.81221,0.4398,0.81221,0.4398,0.7916,0.3738,,,0.8970,0.3163,0.8992,0.311,,,,,,,,
dcn_me,0.8100,0.4418,,,,,,,,,,,,,,,,,,
autoint+_me,0.8083,0.4437,,,,,,,,,,,,,,,,,,
